alerts_15m,error_rate,p95_latency_ms,cpu_pct,mem_pct,disk_pct,user_reports_30m,vip_involved,after_hours,change_window,clinical_system,integration_related,vendor_dependency,affected_services,est_users_impacted,needs_escalation
0,0.2329,118.0,32.0,51.7,49.6,0,0,1,1,1,1,0,2,25.0,1
5,0.8611,188.0,65.3,58.6,77.3,1,0,0,0,0,0,0,1,69.0,1
1,0.2579,115.0,40.1,43.4,72.5,2,0,1,1,1,1,0,3,33.0,1
4,,300.0,20.2,68.0,79.6,0,0,0,0,0,0,0,2,74.0,0
2,0.2724,349.0,42.5,37.2,43.9,1,0,0,0,0,0,0,1,160.0,0
3,0.2468,131.0,58.1,88.7,34.8,1,0,1,0,0,0,0,2,33.0,0
1,0.2196,423.0,47.0,88.6,61.9,2,0,0,0,0,0,0,3,90.0,0
2,0.2606,,52.6,79.5,100.0,2,0,0,0,0,0,0,2,216.0,1
0,0.1987,200.0,64.5,74.1,82.3,0,0,1,0,0,1,0,0,34.0,0
2,0.2211,256.0,71.5,53.7,53.1,0,0,1,0,0,1,1,3,34.0,0
3,0.3386,,46.4,72.5,68.8,0,0,0,0,1,0,0,0,62.0,0
4,0.1905,244.0,33.2,53.6,73.6,1,0,1,0,0,0,1,2,80.0,0
2,0.1352,283.0,53.4,31.7,40.1,0,0,1,0,0,0,1,2,30.0,0
2,1.0,309.0,60.5,77.5,83.9,1,0,1,0,0,1,0,3,24.0,0
1,0.1446,340.0,25.7,71.9,59.3,1,0,0,0,0,0,1,0,97.0,0
2,0.2405,,36.0,54.5,60.5,1,0,0,0,0,0,0,2,25.0,1
2,0.1,243.0,29.1,36.6,62.4,1,0,1,0,0,0,0,1,72.0,0
2,0.2427,329.0,48.3,46.2,80.3,0,0,1,0,0,0,0,2,38.0,1
0,0.1208,469.0,38.3,27.7,49.9,0,0,0,0,0,0,0,2,135.0,0
2,0.1785,267.0,64.7,69.2,34.7,0,0,0,1,0,0,0,1,14.0,1
4,0.456,349.0,23.1,,67.2,1,0,0,0,0,0,0,0,12.0,0
3,0.3134,259.0,23.6,59.3,29.3,0,0,1,1,0,0,0,1,55.0,1
3,0.3304,201.0,46.0,,57.2,0,0,1,0,0,0,0,0,10.0,1
5,0.1029,398.0,48.8,33.6,81.0,1,1,0,0,1,0,0,2,42.0,1
2,0.6252,207.0,25.8,58.6,71.3,0,0,0,1,0,0,1,3,121.0,1
0,0.1048,,41.1,50.0,78.7,3,0,0,0,0,0,0,1,7.0,0
1,0.4969,280.0,44.8,67.6,71.9,0,0,1,0,0,0,0,2,,0
1,0.376,233.0,44.9,,100.0,2,0,0,0,1,1,0,2,100.0,1
1,0.2945,230.0,54.7,,,0,0,0,0,0,0,0,0,24.0,1
1,0.134,,40.1,19.2,68.4,0,0,0,0,0,0,1,1,13.0,0
3,0.2627,,78.6,22.2,55.0,1,0,1,0,1,0,0,0,24.0,0
1,0.1655,341.0,60.8,82.0,77.3,1,0,0,0,0,1,0,0,13.0,0
4,,333.0,37.5,86.3,61.0,1,0,0,0,0,0,0,2,,0
4,,467.0,53.7,56.4,89.5,0,0,0,0,0,0,0,1,22.0,0
1,0.0699,206.0,,42.6,53.5,0,0,1,1,0,0,0,0,16.0,0
1,0.3973,782.0,73.9,50.5,84.5,2,0,0,1,1,0,1,3,62.0,1
5,0.2606,243.0,41.2,68.1,71.5,2,0,0,0,0,1,0,1,98.0,1
2,0.1744,,65.8,47.3,61.5,3,0,0,0,0,0,0,2,41.0,0
3,,166.0,52.8,58.6,70.7,1,0,0,0,0,0,0,0,72.0,0
2,0.2772,108.0,78.8,54.8,66.2,0,0,1,0,1,0,0,2,135.0,1
1,0.1311,,75.2,46.5,,2,0,1,1,0,1,0,0,15.0,1
3,0.0699,610.0,,47.1,58.7,0,0,0,0,0,1,0,1,34.0,0
3,0.3024,400.0,47.3,59.4,50.8,1,1,1,0,1,0,0,2,27.0,1
2,0.3029,172.0,61.1,40.3,56.6,0,0,0,0,0,0,1,1,8.0,0
2,0.204,762.0,48.8,,35.1,2,0,1,0,1,0,0,1,45.0,0
6,0.1539,251.0,82.2,47.9,75.5,1,0,0,0,1,0,0,1,15.0,0
3,0.2538,248.0,,56.9,42.2,0,0,0,1,0,1,0,1,41.0,0
0,0.0902,596.0,,75.8,58.5,2,0,1,0,1,0,0,1,,1
3,0.1374,413.0,43.7,52.5,72.4,0,0,1,0,1,0,0,2,44.0,0
1,0.1419,926.0,,76.8,75.4,0,0,1,1,0,1,0,0,7.0,0
0,0.3212,310.0,62.0,28.1,33.6,0,0,1,0,0,0,1,0,42.0,1
3,0.198,231.0,37.2,47.9,60.5,0,0,1,0,1,0,0,1,25.0,1
0,0.1578,,71.8,55.4,69.4,0,0,1,0,0,1,1,3,24.0,1
4,0.7521,106.0,,83.8,62.8,1,0,0,0,0,0,1,0,,1
7,,267.0,54.3,25.6,83.5,2,0,0,0,0,0,0,0,19.0,0
6,0.3487,572.0,72.7,53.6,48.9,1,0,1,0,1,0,0,0,33.0,1
3,0.1972,399.0,13.3,76.9,29.2,0,0,0,0,1,0,0,1,29.0,0
0,0.1454,273.0,88.3,43.2,75.0,1,0,1,0,1,0,0,0,45.0,1
5,0.0819,173.0,34.3,51.8,,0,0,0,0,0,0,0,0,57.0,0
1,0.3652,313.0,54.5,60.0,33.9,0,0,0,1,1,0,0,1,66.0,1
4,0.3284,511.0,62.3,57.8,59.5,1,0,0,0,0,0,0,2,21.0,1
1,0.1943,350.0,65.1,78.5,81.7,1,0,1,0,0,0,1,1,73.0,1
0,0.1872,,56.9,61.7,41.8,1,0,0,0,0,0,1,1,13.0,1
6,,197.0,70.0,74.9,99.4,2,0,1,0,0,0,0,1,15.0,1
3,0.1028,,61.3,49.6,48.6,0,0,0,0,0,0,1,0,22.0,1
2,0.1646,,83.7,43.9,63.4,2,0,0,0,0,0,0,3,81.0,0
3,0.1294,354.0,,51.6,42.5,0,0,1,0,0,0,0,2,12.0,1
3,0.6404,,87.4,45.6,62.7,0,0,0,1,0,0,0,2,64.0,1
2,0.3685,123.0,68.2,62.3,59.9,0,0,1,0,0,1,0,0,23.0,0
2,0.0678,,,49.2,38.2,0,0,0,1,0,0,0,1,,0
4,0.1116,292.0,99.0,44.9,100.0,0,0,0,0,0,1,0,1,67.0,0
1,,,41.7,62.5,54.1,0,0,0,0,0,0,0,1,15.0,0
4,,518.0,78.9,37.8,54.1,3,0,1,0,0,0,1,0,153.0,0
2,0.1099,365.0,52.5,,77.5,1,0,0,0,0,0,0,3,31.0,1
1,0.6248,300.0,,47.8,91.0,1,0,0,0,1,0,0,1,38.0,1
1,0.2546,428.0,39.6,72.4,80.0,2,1,1,0,1,1,0,3,148.0,1
2,0.2956,284.0,63.3,49.1,42.8,0,0,1,0,0,0,0,2,36.0,0
4,0.1754,1684.0,47.4,72.5,,1,0,1,1,0,0,0,2,81.0,1
2,0.3387,306.0,80.4,57.7,31.9,0,0,1,1,0,1,0,2,7.0,1
5,0.2211,333.0,59.9,66.2,76.4,0,1,0,0,1,1,0,1,,1
1,0.1834,108.0,68.8,56.6,35.8,0,0,0,1,0,1,1,0,34.0,1
2,0.3186,209.0,13.0,30.0,49.1,1,0,1,0,1,0,0,1,80.0,1
4,0.1048,551.0,50.5,70.1,61.9,0,0,1,0,1,0,0,1,63.0,0
5,0.656,143.0,59.4,53.7,69.1,2,0,1,0,0,0,0,3,60.0,1
1,0.237,84.0,56.0,66.8,57.8,1,0,1,0,0,0,1,1,,1
4,0.5192,,69.3,65.4,,1,0,1,0,0,0,0,1,40.0,1
1,0.1187,586.0,45.4,43.4,73.6,1,0,0,0,0,0,1,4,7.0,0
0,0.1215,277.0,52.9,41.3,72.3,1,0,0,1,0,0,0,1,88.0,1
1,0.1131,229.0,73.3,64.8,42.3,1,0,1,0,1,0,0,0,15.0,1
2,0.2612,101.0,11.0,50.5,89.2,0,0,0,0,0,0,0,4,51.0,0
0,0.2094,347.0,,69.0,49.2,2,0,0,0,1,0,0,1,39.0,1
1,0.1661,397.0,46.0,52.3,89.8,0,0,0,0,0,1,0,0,25.0,1
0,0.1156,101.0,35.6,70.4,,0,1,0,0,0,0,0,3,15.0,0
2,0.1134,525.0,58.1,61.3,70.2,1,0,1,0,1,0,0,5,12.0,1
2,0.2216,429.0,74.1,59.3,,0,0,1,0,1,0,1,2,17.0,0
1,0.1659,514.0,70.7,49.4,12.7,1,0,0,0,0,0,0,1,54.0,0
0,0.1385,373.0,49.6,58.5,58.9,0,0,0,0,0,0,0,0,8.0,1
2,0.5331,403.0,67.8,72.9,,1,0,0,0,0,1,0,0,,0
3,0.231,382.0,67.6,54.2,76.8,2,0,1,1,0,0,1,4,,1
1,0.4311,445.0,,63.0,42.5,2,0,0,0,1,0,0,2,17.0,1
2,0.1698,104.0,39.5,55.7,,1,0,0,1,0,1,1,2,20.0,1
2,0.2604,123.0,40.6,56.9,21.4,0,0,0,0,0,0,0,1,30.0,1
2,0.2208,188.0,67.1,80.9,68.6,1,0,0,0,1,0,0,2,48.0,1
0,0.0794,252.0,41.2,73.0,31.9,0,0,0,0,0,0,1,2,13.0,0
2,0.4994,348.0,33.2,56.2,80.1,1,0,1,1,1,0,0,4,54.0,1
1,0.199,330.0,21.7,58.2,80.9,3,1,0,0,0,0,0,1,,1
0,,500.0,67.0,44.5,54.4,0,0,0,0,0,0,0,0,9.0,0
2,0.1505,529.0,42.2,52.4,70.3,1,0,0,1,0,0,1,3,42.0,1
2,0.2079,174.0,57.9,59.6,58.5,1,0,0,0,0,0,0,3,20.0,0
2,0.1413,321.0,74.3,,,0,0,0,0,1,0,0,1,37.0,1
4,,184.0,28.4,66.2,43.6,0,0,1,0,0,0,0,0,44.0,0
4,0.3046,264.0,,38.4,72.0,1,0,0,0,0,0,0,1,24.0,0
2,0.2786,,48.9,69.7,35.7,2,0,1,0,0,0,0,3,73.0,1
2,0.4805,50.0,58.8,53.7,32.7,1,0,0,0,0,0,0,0,46.0,1
0,0.3814,1019.0,74.3,48.2,60.0,0,0,1,0,0,0,0,0,51.0,0
1,0.3266,377.0,,,58.6,2,0,0,0,0,1,0,0,34.0,0
2,0.1041,203.0,62.3,76.9,66.4,2,0,0,0,0,0,0,1,67.0,0
4,0.1751,,70.6,67.0,51.6,0,0,0,0,1,0,0,2,52.0,1
1,0.1234,228.0,48.6,65.6,92.2,0,0,0,0,0,0,0,2,8.0,1
1,0.3199,297.0,49.5,66.5,,0,0,0,1,0,0,0,1,15.0,0
1,0.2355,211.0,59.5,,65.7,1,0,1,1,0,0,0,1,23.0,1
0,0.094,671.0,48.2,65.9,65.2,0,0,0,0,1,0,0,4,45.0,0
2,0.2052,266.0,,35.1,78.0,3,0,1,1,0,0,0,2,42.0,0
4,0.1128,318.0,62.1,85.1,71.2,2,0,1,0,0,0,1,0,13.0,1
0,0.1961,,34.3,71.0,69.1,0,0,0,1,0,0,0,0,122.0,1
3,0.0973,396.0,59.8,47.4,,0,0,1,0,0,0,0,0,23.0,0
0,0.2701,262.0,73.0,,32.8,1,0,0,0,0,0,1,1,27.0,0
3,,529.0,,62.6,33.4,1,0,0,0,0,0,0,1,16.0,0
3,0.6903,1160.0,25.1,58.8,60.8,0,0,0,1,1,0,0,1,,0
5,0.4345,,49.9,59.9,58.8,0,0,1,0,0,1,0,1,25.0,0
0,0.16,288.0,55.5,66.2,71.3,3,0,0,1,1,0,0,4,50.0,1
3,0.3791,315.0,31.4,46.5,62.3,0,0,0,0,0,0,0,1,26.0,1
3,0.1121,590.0,45.5,38.3,71.3,0,0,1,0,0,1,0,0,92.0,0
2,0.1341,202.0,26.6,60.8,,0,0,0,0,0,0,0,0,22.0,0
3,0.2903,246.0,,47.0,61.8,0,0,0,0,0,0,0,1,26.0,1
4,0.0783,126.0,45.0,57.2,40.5,2,0,0,0,1,0,1,0,58.0,1
3,0.2368,150.0,22.4,34.9,68.2,0,0,1,0,0,0,0,3,31.0,0
3,0.1379,,58.3,51.2,31.9,0,1,0,0,1,0,0,0,,0
2,0.2407,273.0,51.0,65.7,67.6,1,0,0,0,0,1,1,1,10.0,0
4,0.1419,775.0,,64.1,38.5,0,0,1,0,0,0,0,1,,1
3,0.3052,386.0,45.0,43.2,55.9,1,0,1,0,0,0,1,0,27.0,1
3,0.2443,,37.6,37.5,76.3,0,0,0,0,0,0,0,2,26.0,1
2,0.4917,189.0,38.1,55.2,65.6,1,0,0,0,0,1,0,0,,1
2,0.2285,,42.3,63.4,35.7,0,0,0,0,1,1,1,0,33.0,1
2,0.1492,523.0,52.3,61.1,51.2,1,0,1,1,0,1,0,0,29.0,1
3,0.211,292.0,54.7,47.3,38.0,0,0,0,1,0,0,0,2,18.0,1
1,,216.0,48.6,59.5,34.9,0,0,0,0,1,0,0,0,20.0,0
2,0.2846,523.0,44.4,77.5,63.9,0,0,0,0,0,0,0,3,42.0,1
4,0.355,170.0,45.7,58.1,71.0,1,1,0,1,1,1,0,1,15.0,1
1,0.8336,342.0,97.1,30.5,69.0,2,0,0,0,0,0,0,2,19.0,1
6,0.2056,1064.0,38.1,,71.6,0,0,1,0,1,1,0,0,46.0,1
1,0.185,309.0,42.0,85.7,61.8,0,0,0,0,0,0,0,1,27.0,1
1,0.1562,180.0,100.0,35.7,57.6,0,0,0,0,1,1,1,1,23.0,0
3,0.2716,360.0,59.6,55.4,44.8,0,0,1,1,0,1,1,1,13.0,0
1,0.2645,213.0,27.2,51.6,55.0,1,0,0,1,1,1,0,3,19.0,1
3,,133.0,67.2,56.4,40.9,1,0,0,0,0,0,0,1,25.0,0
3,0.4393,422.0,35.6,57.9,48.5,1,0,0,0,1,0,0,1,171.0,1
2,0.1621,521.0,68.4,72.1,63.4,0,0,1,0,1,0,0,0,47.0,0
1,0.3688,233.0,48.2,56.3,60.1,1,0,0,0,1,1,0,1,12.0,0
2,0.3061,229.0,44.1,74.2,100.0,2,0,1,0,0,0,0,0,43.0,0
2,0.2261,166.0,,53.2,40.5,0,0,0,1,0,0,1,1,,1
4,,270.0,62.2,49.7,60.0,0,0,0,0,1,1,0,4,48.0,1
1,0.8144,202.0,69.5,45.0,39.2,1,0,0,0,0,1,0,1,17.0,1
3,0.1542,165.0,,27.7,55.8,4,0,0,1,0,0,1,1,140.0,1
3,0.2848,813.0,44.0,67.1,56.4,0,0,0,0,0,1,0,1,11.0,0
1,0.1419,357.0,63.0,85.8,75.5,0,0,1,1,0,0,0,2,40.0,0
2,0.6078,386.0,73.8,61.9,54.8,1,0,0,0,0,0,0,0,14.0,1
2,0.3707,458.0,54.4,65.3,58.9,0,0,0,0,0,0,1,1,,0
1,0.1476,422.0,,48.8,55.1,1,0,1,1,0,1,0,0,31.0,0
0,0.2677,215.0,67.3,51.3,39.6,0,0,0,0,0,0,0,2,85.0,0
1,0.247,321.0,55.8,69.8,51.6,1,0,0,0,1,0,1,4,86.0,1
2,0.1713,243.0,56.5,85.1,55.9,1,0,0,1,0,1,0,2,18.0,0
2,0.3454,358.0,54.5,77.3,63.2,1,0,0,1,1,0,0,0,309.0,1
4,,354.0,29.5,67.1,70.9,1,0,1,0,0,1,0,0,38.0,0
2,0.2563,228.0,50.4,55.5,58.2,1,0,1,1,0,0,0,4,26.0,1
4,0.2508,141.0,,58.1,58.0,2,0,0,0,0,1,0,2,37.0,1
2,0.2885,305.0,44.5,43.7,34.5,0,1,1,0,0,0,0,1,46.0,1
1,0.2432,247.0,58.1,33.3,70.6,0,0,0,0,0,1,0,0,39.0,0
2,0.2352,100.0,,38.1,50.9,2,0,1,0,0,0,0,0,36.0,1
1,0.1507,,65.9,55.7,74.0,1,0,1,0,0,0,0,1,60.0,1
1,0.5442,,63.9,50.6,83.1,1,0,0,0,0,0,0,0,49.0,1
