alerts_15m,error_rate,p95_latency_ms,cpu_pct,mem_pct,disk_pct,user_reports_30m,vip_involved,after_hours,change_window,clinical_system,integration_related,vendor_dependency,affected_services,est_users_impacted,needs_escalation
3,0.1261,164.0,58.3,43.7,61.7,0,0,1,0,1,0,0,3,12.0,1
4,0.3081,392.0,47.8,67.7,,1,0,0,0,1,0,0,1,61.0,0
3,,306.0,86.5,49.6,55.8,1,0,1,0,0,1,0,2,27.0,1
1,0.3893,305.0,,48.3,63.2,1,0,0,0,0,0,0,1,58.0,0
2,0.3082,823.0,52.1,92.3,62.6,0,0,0,0,0,1,0,0,13.0,0
0,0.0546,135.0,42.3,60.3,45.2,0,0,0,1,0,0,1,1,28.0,0
1,0.1392,272.0,59.2,60.1,74.8,1,0,0,0,0,0,0,1,25.0,0
2,0.2456,333.0,,49.5,46.4,0,0,0,0,0,0,0,4,18.0,1
2,0.2045,188.0,57.7,46.1,58.5,1,0,0,0,0,1,0,0,9.0,0
1,0.2788,280.0,49.0,22.2,,0,0,0,0,0,0,0,1,17.0,0
0,0.3117,112.0,23.5,,67.7,0,0,0,0,0,0,0,0,27.0,0
0,0.2821,587.0,52.2,61.7,28.1,1,0,1,0,1,0,0,0,16.0,0
1,0.1905,190.0,32.2,52.3,76.3,1,0,0,0,0,0,0,1,21.0,0
3,0.0876,878.0,10.8,60.9,51.2,1,0,1,0,0,1,0,1,6.0,0
3,0.1882,282.0,54.5,66.0,81.5,2,1,0,0,0,1,0,1,21.0,1
1,0.2696,486.0,60.8,31.7,54.3,0,0,0,0,1,0,0,3,,1
2,0.125,273.0,61.5,46.2,61.2,3,0,0,0,1,0,0,3,76.0,0
0,0.2857,266.0,62.2,38.0,92.6,1,0,1,0,0,0,0,0,23.0,0
2,0.3752,204.0,17.2,81.6,57.6,0,0,0,0,0,0,0,0,30.0,1
1,0.2299,295.0,27.5,68.1,81.8,1,1,0,0,1,0,0,0,,0
1,0.0398,329.0,77.5,22.0,62.6,1,0,1,0,0,0,0,0,90.0,0
7,0.1521,202.0,33.2,32.3,68.6,0,0,1,1,0,0,0,0,128.0,0
3,0.6821,268.0,63.0,53.0,63.1,1,0,0,0,1,0,0,5,62.0,1
2,0.1685,201.0,39.6,47.9,75.6,0,0,0,0,0,0,0,1,,0
1,0.072,977.0,43.4,43.1,51.0,0,0,0,1,0,0,1,3,20.0,0
1,0.4229,263.0,40.6,84.2,,2,0,0,0,1,1,0,1,,1
2,0.2293,658.0,62.1,59.7,51.8,3,0,1,0,0,0,0,0,14.0,1
2,0.418,,54.5,62.1,63.6,0,0,0,0,0,0,0,0,21.0,0
4,0.2989,338.0,43.9,44.6,58.5,2,0,0,1,0,0,0,0,156.0,0
5,0.3507,144.0,33.1,65.8,73.4,1,0,0,0,1,0,0,2,30.0,1
2,0.2779,,56.8,49.3,82.9,0,0,0,0,1,0,0,2,19.0,1
2,0.3341,316.0,30.2,50.7,46.4,1,0,1,1,1,0,0,2,19.0,1
0,0.7065,647.0,59.7,64.2,50.3,0,0,0,0,0,0,0,2,78.0,0
1,0.3657,312.0,99.3,30.6,39.0,1,0,0,1,1,0,0,1,75.0,1
3,0.1013,615.0,,79.0,94.5,3,0,0,0,1,1,0,2,26.0,1
4,,417.0,64.9,57.7,66.9,1,0,0,0,0,0,0,2,7.0,1
1,0.4016,675.0,50.5,74.2,69.7,1,0,0,1,0,0,1,0,10.0,0
1,0.4154,,17.1,,40.6,0,0,0,0,0,0,0,2,124.0,0
3,0.1912,1069.0,,49.2,62.0,0,0,0,0,1,0,0,1,59.0,1
5,0.5172,229.0,75.1,37.6,70.1,5,1,1,0,0,1,0,1,29.0,1
1,0.3571,181.0,37.8,58.8,58.0,3,0,1,0,0,0,0,1,123.0,1
4,1.0,151.0,39.4,56.0,79.2,0,0,1,0,1,0,0,2,182.0,1
3,0.16,1035.0,49.0,56.0,99.0,1,0,0,0,1,0,0,3,42.0,1
1,0.1622,433.0,32.9,39.8,,0,0,0,0,1,0,0,0,30.0,0
2,0.1924,,29.9,36.0,45.6,1,0,0,0,0,1,0,0,15.0,0
5,0.2081,594.0,51.1,54.3,48.0,0,0,1,0,0,0,0,1,22.0,0
4,0.1573,428.0,36.0,48.0,87.7,3,0,0,1,0,0,0,0,7.0,0
2,0.0498,,,52.7,78.7,0,0,0,0,0,1,0,1,8.0,0
2,,120.0,,78.2,59.8,0,0,0,0,1,1,0,3,,0
2,0.2789,243.0,61.4,53.8,62.6,1,0,0,0,0,1,1,2,74.0,1
2,0.1736,,47.8,74.1,,2,0,1,0,0,0,0,2,9.0,1
2,0.66,95.0,,47.0,76.2,0,0,1,0,0,0,1,1,132.0,1
4,0.2586,525.0,62.7,58.7,55.9,0,0,0,0,0,0,1,0,,1
3,0.4917,,49.4,54.2,57.8,0,0,1,0,1,0,0,2,153.0,1
1,0.2475,414.0,47.0,,71.7,0,0,0,1,0,0,0,2,23.0,1
1,0.3377,1010.0,60.5,84.4,59.0,1,0,0,0,0,0,0,4,11.0,1
3,0.2818,236.0,64.0,53.0,58.2,2,0,0,0,0,0,0,1,77.0,1
0,0.4286,215.0,49.4,66.2,,0,1,1,1,0,0,0,0,75.0,1
0,0.2082,289.0,53.5,,74.7,0,0,0,0,0,0,0,1,13.0,1
0,0.2652,465.0,37.9,52.5,88.3,0,0,0,0,1,0,0,2,29.0,1
3,0.2957,210.0,36.5,42.0,71.4,2,0,1,0,0,0,1,2,15.0,0
0,0.1723,191.0,65.8,73.5,74.9,1,0,0,0,0,0,0,2,28.0,1
5,0.3405,535.0,,59.7,58.8,0,0,0,0,1,0,0,1,37.0,1
1,0.7326,340.0,60.2,60.5,50.7,0,0,0,0,0,0,0,2,24.0,1
4,0.2212,95.0,57.1,75.4,72.5,0,0,1,0,0,0,0,1,6.0,1
2,0.2867,143.0,52.8,72.3,64.7,1,1,1,1,0,0,0,3,22.0,1
3,,656.0,64.5,66.5,39.2,0,0,1,0,0,0,0,0,43.0,1
1,0.4014,344.0,,33.7,56.8,0,0,0,0,0,0,0,0,21.0,0
2,0.2291,185.0,68.4,44.6,60.7,0,0,0,0,1,0,1,0,23.0,1
0,0.0544,246.0,40.2,39.9,53.8,1,0,1,1,1,1,0,1,16.0,1
2,0.3025,284.0,77.0,65.9,85.7,0,0,0,0,0,0,0,2,19.0,1
3,0.0713,430.0,46.1,57.6,69.7,0,0,0,0,0,0,0,1,85.0,1
4,0.5761,139.0,63.4,34.1,84.0,1,0,1,0,0,0,0,2,13.0,1
2,,177.0,57.1,52.2,66.2,1,0,0,0,0,0,0,1,49.0,1
2,0.3945,327.0,56.4,32.6,63.3,0,0,0,0,0,0,0,0,25.0,1
1,0.1305,261.0,38.8,54.2,47.0,1,0,1,0,0,0,0,1,34.0,1
2,0.0969,,54.6,30.2,62.2,0,0,1,0,0,1,0,0,14.0,1
2,0.2627,143.0,100.0,62.9,62.2,1,0,1,0,1,0,0,2,29.0,0
2,0.2235,343.0,45.3,60.7,40.1,0,0,1,0,1,0,0,0,30.0,0
0,0.1541,493.0,53.3,83.6,53.4,1,0,0,0,0,1,0,0,16.0,1
2,0.2385,368.0,44.0,67.7,,0,0,1,0,1,0,0,1,44.0,1
4,1.0,316.0,43.2,,68.6,0,0,0,0,0,0,0,2,45.0,1
3,0.3825,272.0,79.8,,69.4,1,0,1,1,1,0,0,1,192.0,1
3,,181.0,39.9,34.0,52.7,0,0,0,0,0,0,0,1,35.0,1
5,0.4335,287.0,43.5,40.6,69.5,1,0,1,0,0,0,0,1,6.0,0
2,0.5136,563.0,23.4,60.0,59.1,1,0,0,0,0,1,0,3,89.0,1
0,0.1819,253.0,38.4,22.6,16.1,0,0,1,0,0,0,1,0,21.0,1
1,0.0692,169.0,11.2,54.4,54.2,1,0,0,0,0,0,1,2,156.0,0
1,,210.0,,39.7,79.3,0,0,0,0,0,1,0,2,101.0,1
1,0.335,308.0,100.0,56.5,35.1,1,0,0,1,0,0,0,0,16.0,1
1,0.1258,225.0,45.4,38.8,63.8,2,0,0,0,0,1,0,2,56.0,0
3,0.2194,375.0,22.0,61.4,87.4,2,1,1,1,0,0,1,4,25.0,0
1,0.1465,,68.2,55.3,49.8,0,0,0,0,0,0,0,1,28.0,1
4,0.5863,478.0,38.9,76.0,62.0,1,0,0,0,0,0,0,1,48.0,1
4,0.3876,641.0,75.4,55.1,41.1,0,0,0,0,0,0,0,1,67.0,0
1,0.3068,477.0,46.9,43.5,88.0,0,0,0,0,0,0,1,2,64.0,0
1,0.3018,165.0,,51.3,60.7,1,0,0,0,0,1,0,2,33.0,1
5,0.267,,48.8,34.8,62.7,1,0,0,0,1,1,0,1,246.0,1
2,0.2538,,65.6,61.1,83.7,0,0,0,0,0,1,0,1,21.0,0
3,0.126,224.0,47.9,63.8,72.6,1,0,0,0,0,0,0,0,7.0,0
2,,,33.1,92.0,48.0,0,0,0,0,0,0,0,3,11.0,0
1,0.2328,216.0,48.4,45.7,51.6,0,0,0,0,0,0,0,2,,0
3,0.2889,221.0,,51.0,69.9,1,0,0,0,0,0,1,3,33.0,0
3,,198.0,59.1,,,0,0,0,1,0,0,0,2,35.0,1
2,0.5402,237.0,19.8,58.2,28.1,0,0,1,0,1,0,0,1,22.0,1
2,0.5398,538.0,44.0,60.7,61.1,0,0,0,0,0,0,0,0,17.0,0
6,0.1671,340.0,65.7,54.2,38.3,0,0,0,0,0,0,0,2,17.0,1
3,0.1991,1118.0,57.5,79.3,,1,1,0,0,0,0,0,1,40.0,0
0,0.2629,297.0,62.6,45.7,64.8,0,0,1,1,0,0,0,4,,0
3,0.9729,245.0,50.8,69.8,,2,0,0,0,1,0,0,0,42.0,0
1,0.4839,277.0,73.1,63.1,50.8,0,0,0,0,0,1,0,1,36.0,0
0,0.3737,311.0,68.6,54.8,31.8,0,0,1,0,0,0,0,1,20.0,0
3,0.1953,365.0,,50.3,44.4,1,0,1,0,1,0,0,1,11.0,0
0,0.1242,847.0,68.7,99.4,78.3,0,0,0,1,0,0,0,0,7.0,1
4,,184.0,65.5,42.7,97.7,0,0,1,1,0,1,0,2,351.0,1
7,0.1677,499.0,44.1,59.5,73.6,0,0,0,0,1,0,0,3,140.0,1
6,0.2538,342.0,27.8,43.7,60.5,0,0,1,0,0,1,0,1,81.0,1
3,0.2269,121.0,,81.8,55.1,0,0,1,0,0,0,0,1,16.0,1
0,0.4849,413.0,61.8,68.3,46.7,1,0,0,0,1,0,0,2,38.0,1
5,0.2242,600.0,71.6,44.8,95.0,2,0,0,0,0,0,0,2,,1
1,0.056,172.0,25.1,62.7,59.0,3,0,0,0,0,0,1,0,9.0,0
4,0.3387,292.0,35.7,,,0,0,1,0,0,1,1,0,15.0,0
1,0.146,107.0,60.3,47.3,84.3,0,0,0,0,0,1,0,3,102.0,0
0,0.2067,135.0,50.7,66.4,34.1,0,0,0,0,0,0,0,3,69.0,0
6,0.2759,543.0,18.1,,51.3,0,0,1,1,0,1,0,2,14.0,1
3,0.2079,222.0,58.8,58.2,51.3,1,0,1,1,0,0,0,0,19.0,1
2,0.3516,153.0,18.7,54.4,60.7,0,0,0,0,1,0,0,0,55.0,0
3,0.104,326.0,35.0,61.5,61.0,2,0,1,0,0,1,0,2,20.0,0
3,0.1819,215.0,76.3,58.4,100.0,0,0,0,0,0,0,0,0,26.0,0
2,0.3316,217.0,,,,2,0,1,1,1,1,0,3,59.0,0
2,0.1624,423.0,30.1,45.4,65.7,1,0,0,0,1,0,0,4,66.0,1
4,0.1059,155.0,46.1,80.4,71.9,0,0,0,1,1,0,0,2,,0
1,0.3097,168.0,52.8,39.2,62.0,2,0,0,0,1,0,0,2,23.0,0
4,0.476,319.0,,61.4,63.8,0,0,0,0,0,1,0,2,20.0,0
2,0.2221,480.0,43.1,50.2,45.3,0,0,0,1,0,0,0,1,11.0,0
1,0.0729,545.0,,81.4,63.7,0,0,0,0,1,1,0,1,10.0,0
1,,191.0,79.9,41.4,70.2,2,0,1,0,0,0,0,2,28.0,0
2,0.0914,471.0,35.3,44.0,67.2,0,0,1,1,0,1,0,2,60.0,1
4,0.3042,190.0,65.0,40.5,71.1,0,0,1,1,1,0,1,1,11.0,0
2,0.1397,768.0,25.4,59.9,84.6,0,0,1,1,0,0,0,1,34.0,0
5,0.144,160.0,48.9,34.4,77.0,1,0,1,1,0,1,0,0,46.0,0
1,0.1681,573.0,22.1,47.8,63.1,1,0,0,0,0,0,0,0,,0
2,0.2058,196.0,33.0,22.7,43.3,2,0,0,0,0,0,0,1,22.0,1
4,0.1801,887.0,67.1,66.6,52.4,1,0,1,0,0,0,0,2,116.0,1
5,0.3767,414.0,51.1,47.5,58.5,1,0,1,1,0,0,0,0,38.0,0
1,0.1677,158.0,46.3,32.7,66.0,0,0,1,1,1,1,0,2,9.0,1
4,,220.0,38.5,71.3,,1,0,1,0,0,0,1,1,47.0,1
1,0.2502,424.0,48.0,35.4,47.0,0,0,0,0,0,1,1,0,13.0,0
0,,482.0,57.4,67.0,43.0,1,0,1,1,1,1,0,0,52.0,1
1,0.1332,265.0,69.7,44.5,35.6,2,0,1,0,1,1,0,1,19.0,0
2,0.092,288.0,1.0,79.0,58.2,1,0,1,0,0,0,0,1,27.0,0
0,0.2369,410.0,37.0,66.2,,0,0,1,1,0,0,0,2,20.0,0
1,0.1764,297.0,54.9,39.9,46.0,0,0,0,0,0,0,1,1,28.0,1
0,0.0548,133.0,,41.2,55.7,1,0,1,0,1,0,0,1,21.0,0
2,0.1695,180.0,59.3,64.1,40.6,0,0,0,0,0,0,0,1,23.0,1
2,0.1387,320.0,56.8,51.1,,0,0,1,0,0,0,1,3,14.0,0
1,,538.0,46.5,52.5,73.8,1,0,0,0,1,1,0,3,64.0,1
0,0.0791,658.0,32.5,74.1,53.2,1,1,0,0,0,0,0,0,28.0,0
2,0.103,432.0,47.6,43.8,55.0,1,0,0,0,0,0,0,1,8.0,1
3,0.4451,336.0,72.7,56.4,70.6,0,0,0,0,1,1,0,3,95.0,0
1,0.4521,416.0,38.8,69.3,50.6,1,0,0,0,1,0,1,3,37.0,1
2,0.1511,195.0,,67.1,49.5,0,0,1,0,0,0,1,5,51.0,0
2,0.1608,259.0,55.3,52.6,81.1,0,0,0,0,0,1,0,2,57.0,0
2,0.3195,179.0,80.1,50.7,76.1,0,0,1,0,0,0,0,0,32.0,1
0,0.0561,136.0,,28.9,71.6,0,0,0,0,0,1,0,2,,0
2,0.0818,338.0,59.3,39.2,76.8,1,0,0,0,0,1,0,3,28.0,0
1,0.1837,306.0,74.2,59.8,30.4,1,0,1,0,0,0,0,1,63.0,1
0,0.4735,395.0,50.9,52.9,83.7,1,0,1,0,0,0,0,0,27.0,1
2,0.1791,380.0,48.2,56.1,68.3,1,0,0,0,0,0,0,0,37.0,0
2,0.2406,,46.1,70.6,,1,0,1,0,0,1,0,0,,1
2,0.4247,382.0,47.4,37.2,68.2,1,0,1,0,0,1,0,0,66.0,1
4,0.8177,286.0,67.4,51.5,62.8,0,0,0,0,0,0,1,1,49.0,0
4,0.1869,368.0,56.2,57.8,57.6,0,0,1,1,0,0,0,0,17.0,0
2,0.2255,189.0,56.2,44.4,67.9,0,0,1,0,0,0,0,3,21.0,1
2,0.6201,345.0,31.7,76.5,57.0,2,0,1,1,0,0,0,0,24.0,1
0,0.0874,391.0,24.6,68.6,,1,0,0,0,1,1,0,4,26.0,0
1,0.3773,191.0,90.6,59.4,36.6,0,0,0,0,1,0,0,2,16.0,0
2,0.13,290.0,48.8,81.9,53.3,1,0,0,0,0,0,0,0,4.0,1
4,0.2715,208.0,38.1,32.5,94.7,0,0,1,0,0,1,0,0,7.0,0
1,0.1876,207.0,77.8,54.9,52.0,3,1,1,0,1,0,0,0,147.0,1
1,0.1266,149.0,,60.5,58.2,1,0,0,0,0,0,0,0,15.0,0
1,0.1248,553.0,62.4,41.3,47.9,0,0,0,0,1,0,0,2,175.0,1
0,0.235,486.0,49.5,59.5,67.4,0,0,0,0,0,0,1,1,38.0,1
2,0.3936,378.0,46.3,,50.2,3,0,0,0,0,0,0,2,30.0,1
4,,867.0,48.9,73.4,59.0,1,0,1,1,0,0,0,4,,1
0,0.2098,244.0,27.1,70.9,75.6,1,0,0,0,0,0,0,1,28.0,1
3,0.3309,1522.0,,67.1,50.8,0,0,0,0,0,0,0,1,126.0,1
0,0.1183,239.0,57.3,27.2,74.6,1,0,0,1,1,0,0,1,117.0,0
3,0.3631,330.0,85.3,40.5,75.2,1,1,0,1,0,0,0,2,39.0,1
3,0.3793,231.0,53.5,63.5,78.9,1,0,1,0,0,1,0,1,11.0,1
5,1.0,367.0,10.0,55.3,64.2,0,0,1,0,0,0,0,1,,0
0,0.1642,428.0,,14.6,100.0,1,0,0,0,1,0,0,0,15.0,1
3,0.1879,270.0,100.0,73.6,78.9,1,0,0,0,0,1,0,3,98.0,0
3,0.369,763.0,67.6,57.0,67.2,0,0,0,0,0,0,0,2,115.0,1
2,0.3572,321.0,37.4,42.7,48.0,1,0,0,0,0,0,0,1,32.0,1
3,0.1801,333.0,,69.9,60.4,2,0,0,0,0,1,0,1,22.0,1
4,0.2056,178.0,38.6,44.8,84.8,1,0,0,0,1,0,0,1,117.0,1
3,0.3255,361.0,27.6,44.7,89.4,0,0,1,0,0,0,0,2,14.0,0
3,0.1533,267.0,45.7,60.4,85.7,0,0,0,0,0,0,0,0,26.0,0
2,0.1816,201.0,53.6,,74.6,2,0,0,0,1,0,0,1,49.0,0
4,0.2696,191.0,18.3,79.4,41.9,1,0,0,0,0,0,0,2,16.0,0
3,0.418,1248.0,31.3,68.4,69.8,5,0,1,0,0,0,0,1,17.0,0
3,0.1733,248.0,52.2,61.9,42.1,2,0,0,0,0,0,0,1,16.0,1
2,0.0826,126.0,34.7,66.9,38.2,0,0,0,0,1,1,0,3,133.0,1
2,0.0793,192.0,49.1,36.1,,1,0,1,0,0,0,0,4,183.0,0
2,0.1139,274.0,30.1,64.7,70.4,1,0,0,0,0,0,0,5,49.0,0
3,0.1174,388.0,64.9,44.0,,0,0,1,0,0,0,0,4,,0
1,,374.0,30.7,59.8,70.0,1,0,0,0,0,1,1,1,17.0,1
2,0.1184,408.0,,51.6,70.5,2,0,1,1,0,0,0,4,,1
4,0.1744,205.0,21.1,62.5,46.2,1,0,1,1,0,0,0,0,16.0,1
1,0.1401,333.0,32.3,56.8,60.3,2,0,0,0,0,0,0,5,41.0,1
6,0.2271,188.0,59.5,8.9,37.9,1,0,1,0,0,0,0,2,43.0,1
1,0.4437,,82.0,57.7,29.9,1,0,0,0,1,0,0,1,24.0,1
1,0.3085,167.0,57.7,64.6,73.9,1,0,1,0,0,1,0,0,21.0,0
3,0.2439,149.0,62.1,61.7,50.0,0,1,1,1,1,0,0,1,29.0,1
1,0.1664,495.0,52.3,53.5,76.0,0,0,1,1,0,0,0,1,21.0,1
3,0.1905,419.0,33.5,79.6,79.7,1,0,1,0,0,0,1,2,22.0,0
3,0.2895,491.0,43.2,59.7,52.1,1,0,0,0,0,0,0,0,45.0,0
2,0.3139,288.0,30.2,61.6,71.4,2,0,0,0,0,0,0,4,10.0,1
1,0.1301,423.0,,70.7,51.4,0,0,0,0,0,1,0,1,,0
2,0.2323,107.0,59.2,,32.5,0,0,1,0,0,0,0,1,31.0,0
2,0.0745,452.0,,41.5,64.0,2,0,1,0,1,0,0,1,55.0,1
4,0.2884,323.0,57.8,18.4,54.5,1,0,0,0,1,0,0,1,60.0,1
1,0.326,390.0,28.6,47.8,55.0,0,0,0,0,0,0,0,1,16.0,1
3,0.2072,354.0,57.3,66.4,93.6,0,0,0,0,0,0,0,1,,0
3,0.6564,167.0,43.2,49.7,37.6,0,0,1,0,0,0,0,1,12.0,1
1,0.132,121.0,77.3,67.0,68.1,4,0,1,0,1,0,0,2,31.0,0
2,0.2566,190.0,57.8,57.2,46.1,0,0,0,0,0,1,0,1,,0
2,0.2232,384.0,74.2,74.3,76.5,2,0,0,0,0,1,0,1,,0
1,0.2029,403.0,38.4,50.6,66.8,1,0,0,1,0,1,0,2,51.0,0
0,0.1896,127.0,53.0,62.0,68.1,3,0,0,0,0,1,0,1,,1
1,0.2274,,34.3,62.6,46.9,0,0,1,0,0,0,1,0,18.0,0
2,0.3629,189.0,44.6,77.5,49.8,1,0,0,0,0,0,0,1,70.0,1
2,0.4857,231.0,47.3,,76.8,2,0,0,1,0,0,0,0,21.0,1
4,0.2563,139.0,38.9,48.1,90.3,0,0,0,0,0,1,0,3,18.0,1
2,0.3564,129.0,30.1,67.7,69.7,1,0,0,0,0,0,0,2,18.0,1
4,0.1745,186.0,26.6,78.2,47.6,0,0,1,1,0,0,1,1,2.0,0
2,,295.0,9.9,58.6,67.4,1,0,0,0,1,0,0,2,17.0,1
1,,144.0,33.0,50.6,100.0,0,0,0,0,0,0,0,1,64.0,0
2,0.4147,264.0,63.3,66.4,,0,1,0,0,1,0,0,0,19.0,1
1,0.7231,494.0,23.2,68.0,85.4,1,0,1,1,0,0,0,1,19.0,1
1,0.2005,135.0,27.4,49.6,50.2,1,0,1,0,0,0,0,0,4.0,0
